corpus,arch,replicate,cell,input,loss,weight_decay,macro_map,micro_map,macro_f1s,top_1_rec,top_3_rec,top_5_rec,normalization,checkpoint
amass_clean,medium_100ep,seed42,in_p__loss_p,p,p,0.00001,0.3471662700176239,0.5341516137123108,0.258500874042511,0.27491575479507446,0.5197399854660034,0.6348098516464233,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep,seed2,in_p__loss_p,p,p,0.00001,0.3445216715335846,0.529668390750885,0.24630911648273468,0.2758786678314209,0.5134809613227844,0.6331247091293335,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_p__loss_p,p,p,3e-6,0.3471579849720001,0.5292888879776001,0.28260207176208496,0.2757984399795532,0.5154068470001221,0.6250200867652893,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_p__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep,seed1,in_p__loss_pk,p,pk,3e-6,0.3600214123725891,0.5471552014350891,0.28821831941604614,0.28358209133148193,0.5311346650123596,0.6443588733673096,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_p__loss_pk,p,pk,0.00001,0.36677029728889465,0.5552523136138916,0.2654542028903961,0.28542768955230713,0.5387578010559082,0.6478896141052246,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_p__loss_pk,p,pk,0.00001,0.36119741201400757,0.5513194799423218,0.25084173679351807,0.28326112031936646,0.5352271199226379,0.6458835005760193,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_p__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_p__loss_pkd,p,pkd,0.00003,0.36096814274787903,0.5514163970947266,0.2538541555404663,0.2826994061470032,0.5301716923713684,0.6455625295639038,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_p__loss_pkd,p,pkd,0.00001,0.36103445291519165,0.550187349319458,0.2880018353462219,0.2820574641227722,0.5367517471313477,0.645963728427887,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_p__loss_pkd,p,pkd,0.00003,0.3615890443325043,0.5478438138961792,0.2435230016708374,0.28277966380119324,0.5303322076797485,0.644679844379425,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_pk__loss_p,pk,p,0.00001,0.35274019837379456,0.546818733215332,0.26003655791282654,0.28069332242012024,0.5269619822502136,0.641791045665741,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep,seed42,in_pk__loss_p,pk,p,0.00001,0.34451574087142944,0.539253830909729,0.25760960578918457,0.2761996388435364,0.5215856432914734,0.6352912783622742,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep,seed2,in_pk__loss_p,pk,p,0.00001,0.3550814390182495,0.543475866317749,0.2599691152572632,0.2782057523727417,0.524394154548645,0.6403466463088989,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed42,in_pk__loss_pk,pk,pk,0.00001,0.36329367756843567,0.5537256002426147,0.2561648488044739,0.2844647765159607,0.5366714596748352,0.6485315561294556,pretrain_v1_train_clean.pt,runs/baseline_matrix_100ep_medium/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed1,in_pk__loss_pk,pk,pk,3e-6,0.3647462725639343,0.5507259368896484,0.2906814217567444,0.28253892064094543,0.5300112366676331,0.6465254426002502,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed1/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_pk__loss_pk,pk,pk,0.00001,0.36535659432411194,0.5546124577522278,0.25706714391708374,0.28454500436782837,0.5385973453521729,0.6511796116828918,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep,seed2,in_pk__loss_pkd,pk,pkd,0.00003,0.36670437455177307,0.5556042790412903,0.25329601764678955,0.2867918610572815,0.5369924306869507,0.6458835005760193,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep/seed2/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
